Task,Category,Priority
Analyze sprint plan as soon as possible,Work,Medium
Pay electricity bill today,Personal,High
Read thesis introduction immediately,Study,High
Visit wardrobe by tomorrow,Personal,Medium
Watch favorite podcast for next week,Personal,Low
Research marketing strategy as soon as possible,Work,Medium
Plan yoga session today,Personal,Medium
Submit bug in production immediately,Work,High
Attend dancing class by tomorrow,Personal,Low
Play dentist appointment as soon as possible,Personal,Medium
Watch electricity bill by tomorrow,Personal,High
Take notes for physics numericals by tomorrow,Study,Medium
Go to favorite podcast immediately,Personal,High
Exercise electricity bill,Personal,High
Plan car by tomorrow,Personal,Medium
Take notes for thesis introduction by tomorrow,Study,Medium
Water wardrobe,Personal,Medium
Watch history essay,Study,Low
Wash electricity bill for next week,Personal,High
Develop server maintenance as soon as possible,Work,Medium
Water electricity bill,Personal,High
Pay football with friends immediately,Personal,High
Cook gym workout by tomorrow,Personal,Medium
Plan weekend trip today,Personal,Low
Schedule sprint plan as soon as possible,Work,Medium
Organize contract for freelancer,Work,Medium
Attend English vocabulary as soon as possible,Study,Medium
Plan living room immediately,Personal,High
Practice final exam today,Study,High
Watch gym workout,Personal,Low
Practice university library books today,Study,Medium
Complete LinkedIn profile for next week,Work,Medium
Solve geography project by tomorrow,Study,Medium
Attend machine learning tutorial,Study,Medium
Organize living room for next week,Personal,Medium
Study university library books as soon as possible,Study,Medium
Wash dancing class as soon as possible,Personal,Low
Attend car for next week,Personal,Medium
Memorize physics numericals for next week,Study,Medium
Visit electricity bill immediately,Personal,High
Visit dentist appointment as soon as possible,Personal,Medium
Clean weekly groceries,Personal,Low
Study chemistry lab report,Study,Medium
Research machine learning tutorial today,Study,Medium
Revise thesis introduction today,Study,Medium
Revise physics numericals by tomorrow,Study,Medium
Analyze project report,Work,Medium
Exercise garden plants,Personal,Medium
Visit football with friends for next week,Personal,Low
Play dentist appointment,Personal,Medium
Attend wardrobe as soon as possible,Personal,Medium
Schedule client proposal for next week,Work,Medium
Attend marketing strategy today,Work,Medium
Coordinate business lead,Work,Medium
Email code documentation as soon as possible,Work,Medium
Write final exam today,Study,High
Attend geography project by tomorrow,Study,Medium
Research code documentation by tomorrow,Work,Medium
Cook dancing class today,Personal,Low
Attend Netflix movie today,Personal,Low
Buy dentist appointment,Personal,Medium
Cook gym workout today,Personal,Medium
Take notes for math assignment immediately,Study,High
Read history essay,Study,Medium
Attend biology chapter today,Study,Medium
Watch wardrobe,Personal,Low
Analyze bug in production as soon as possible,Work,High
Visit living room,Personal,Medium
Coordinate team meeting by tomorrow,Work,High
Attend project report for next week,Work,Medium
Complete marketing strategy by tomorrow,Work,Medium
Call code documentation for next week,Work,Medium
Watch weekly groceries today,Personal,Low
Buy wardrobe for next week,Personal,Medium
Take notes for machine learning tutorial as soon as possible,Study,Medium
Complete online course as soon as possible,Study,Medium
Solve English vocabulary immediately,Study,High
Prepare chemistry lab report immediately,Study,High
Wash yoga session,Personal,Medium
Schedule sprint plan by tomorrow,Work,Medium
Complete team meeting as soon as possible,Work,High
Watch weekly groceries,Personal,Low
Submit quarterly sales data immediately,Work,High
Revise math assignment,Study,Medium
Organize garden plants by tomorrow,Personal,Medium
Attend English vocabulary immediately,Study,High
Present budget sheet immediately,Work,High
Call software feature,Work,Medium
Solve machine learning tutorial immediately,Study,High
Research university library books by tomorrow,Study,Medium
Submit server maintenance,Work,High
Research project report for next week,Work,Medium
Research client proposal immediately,Work,High
Analyze server maintenance,Work,Medium
Read machine learning tutorial immediately,Study,High
Attend geography project today,Study,Medium
Water football with friends as soon as possible,Personal,Low
Attend quarterly sales data immediately,Work,High
Cook healthy dinner,Personal,Medium
Clean gym workout for next week,Personal,Low
Memorize university library books today,Study,Medium
Study university library books immediately,Study,High
Research project report,Work,Medium
Complete machine learning tutorial immediately,Study,High
Read math assignment by tomorrow,Study,Medium
Update project report as soon as possible,Work,Medium
Pay yoga session today,Personal,Medium
Fix project report for next week,Work,Medium
Solve psychology notes for next week,Study,Medium
Organize bug in production as soon as possible,Work,High
Watch physics numericals,Study,Low
Memorize history essay by tomorrow,Study,Medium
Research thesis introduction today,Study,Medium
Memorize physics numericals today,Study,Medium
Exercise wardrobe,Personal,Medium
Schedule LinkedIn profile as soon as possible,Work,Medium
Buy living room as soon as possible,Personal,Medium
Review business lead immediately,Work,High
Coordinate quarterly sales data by tomorrow,Work,Medium
Fix server maintenance,Work,Medium
Schedule sprint plan for next week,Work,Medium
Revise geography project as soon as possible,Study,Medium
Water gym workout as soon as possible,Personal,Medium
Attend code documentation,Work,Medium
Listen to yoga session for next week,Personal,Medium
Organize office workstation today,Work,Medium
Attend math assignment as soon as possible,Study,Medium
Fix project report immediately,Work,High
Study math assignment today,Study,Medium
Update budget sheet as soon as possible,Work,Medium
Call office workstation today,Work,Medium
Water gym workout immediately,Personal,High
Water wardrobe immediately,Personal,High
Complete server maintenance by tomorrow,Work,Medium
Schedule contract for freelancer by tomorrow,Work,Medium
Research history essay as soon as possible,Study,Medium
Organize gym workout by tomorrow,Personal,Medium
Update office workstation immediately,Work,High
Complete geography project for next week,Study,Medium
Attend final exam by tomorrow,Study,High
Pay football with friends today,Personal,Low
Water garden plants,Personal,Medium
Exercise football with friends for next week,Personal,Low
Exercise Netflix movie immediately,Personal,High
Attend Netflix movie immediately,Personal,High
Fix team meeting for next week,Work,High
Read machine learning tutorial for next week,Study,Medium
Attend thesis introduction as soon as possible,Study,Medium
Research chemistry lab report as soon as possible,Study,Medium
Plan wardrobe as soon as possible,Personal,Medium
Listen to favorite podcast immediately,Personal,High
Draft bug in production,Work,High
Prepare math assignment today,Study,Medium
Read biology chapter,Study,Medium
Plan garden plants immediately,Personal,High
Solve physics numericals as soon as possible,Study,Medium
Watch thesis introduction for next week,Study,Low
Pay wardrobe immediately,Personal,High
Pay dentist appointment for next week,Personal,Medium
Fix team meeting by tomorrow,Work,High
Pay car,Personal,Medium
Play dentist appointment by tomorrow,Personal,Medium
Analyze team meeting,Work,High
Organize software feature immediately,Work,High
Watch math assignment by tomorrow,Study,Low
Go to favorite podcast,Personal,Low
Attend healthy dinner,Personal,Medium
Pay healthy dinner,Personal,Medium
Revise machine learning tutorial immediately,Study,High
Update team meeting,Work,High
Watch history essay by tomorrow,Study,Low
Cook wardrobe as soon as possible,Personal,Medium
Buy garden plants immediately,Personal,High
Watch yoga session as soon as possible,Personal,Low
Coordinate code documentation today,Work,Medium
Play weekend trip as soon as possible,Personal,Low
Analyze project report today,Work,Medium
Watch dancing class immediately,Personal,High
Cook dentist appointment for next week,Personal,Medium
Pay garden plants,Personal,Medium
Complete contract for freelancer as soon as possible,Work,Medium
Read English vocabulary immediately,Study,High
Present client proposal immediately,Work,High
Pay weekly groceries for next week,Personal,Medium
Wash weekend trip immediately,Personal,High
Exercise car today,Personal,Medium
Take notes for thesis introduction as soon as possible,Study,Medium
Attend geography project,Study,Medium
Memorize math assignment for next week,Study,Medium
Memorize English vocabulary for next week,Study,Medium
Fix server maintenance for next week,Work,Medium
Complete business lead by tomorrow,Work,Medium
Study biology chapter today,Study,Medium
Read machine learning tutorial as soon as possible,Study,Medium
Schedule client proposal immediately,Work,High
Attend business lead by tomorrow,Work,Medium
Organize contract for freelancer for next week,Work,Medium
Develop client proposal immediately,Work,High
Play healthy dinner as soon as possible,Personal,Medium
Clean favorite podcast by tomorrow,Personal,Low
Memorize thesis introduction by tomorrow,Study,Medium
Go to weekend trip for next week,Personal,Low
Study coding challenge today,Study,Medium
Read online course by tomorrow,Study,Medium
Read biology chapter immediately,Study,High
Organize sprint plan by tomorrow,Work,Medium
Review software feature today,Work,Medium
Attend university library books immediately,Study,High
Research office workstation by tomorrow,Work,Medium
Research biology chapter by tomorrow,Study,Medium
Play electricity bill,Personal,High
Prepare physics numericals as soon as possible,Study,Medium
Research university library books,Study,Medium
Watch yoga session by tomorrow,Personal,Low
Write psychology notes for next week,Study,Medium
Practice history essay immediately,Study,High
Research final exam today,Study,High
Visit living room immediately,Personal,High
Fix sprint plan as soon as possible,Work,Medium
Attend online course as soon as possible,Study,Medium
Revise final exam today,Study,High
Complete psychology notes as soon as possible,Study,Medium
Attend office workstation,Work,Medium
Memorize online course by tomorrow,Study,Medium
Attend Netflix movie by tomorrow,Personal,Low
Research final exam by tomorrow,Study,High
Watch English vocabulary as soon as possible,Study,Low
Listen to weekend trip by tomorrow,Personal,Low
Complete math assignment as soon as possible,Study,Medium
Buy weekend trip,Personal,Low
Write geography project as soon as possible,Study,Medium
Call server maintenance by tomorrow,Work,Medium
Plan gym workout immediately,Personal,High
Watch machine learning tutorial by tomorrow,Study,Low
Complete final exam immediately,Study,High
Draft marketing strategy,Work,Medium
Memorize online course for next week,Study,Medium
Play favorite podcast as soon as possible,Personal,Low
Submit budget sheet today,Work,High
Visit wardrobe,Personal,Medium
Listen to healthy dinner,Personal,Medium
Take notes for online course as soon as possible,Study,Medium
Wash Netflix movie today,Personal,Low
Schedule LinkedIn profile today,Work,Medium
Study history essay as soon as possible,Study,Medium
Solve biology chapter by tomorrow,Study,Medium
Practice biology chapter as soon as possible,Study,Medium
Coordinate quarterly sales data for next week,Work,Medium
Plan gym workout,Personal,Medium
Prepare psychology notes as soon as possible,Study,Medium
Study physics numericals today,Study,Medium
Pay gym workout today,Personal,Medium
Listen to healthy dinner for next week,Personal,Medium
Write online course as soon as possible,Study,Medium
Water living room,Personal,Medium
Attend software feature for next week,Work,Medium
Draft project report for next week,Work,Medium
Present budget sheet,Work,Medium
Email bug in production immediately,Work,High
Clean dentist appointment,Personal,Low
Email sprint plan,Work,Medium
Draft team meeting for next week,Work,High
Visit gym workout for next week,Personal,Medium
